exploring sea space &amp; earth: fundamentals of engineering design,class overview. introduction to engineering and the design process. engineering drawing. sketching. back of the envelope calculations. basic design analysis. free body diagrams. newton's laws. electronics and water. two great tastes that don't taste so great together&hellip.. exploration with instrumentation. hydrostatics. pressure and water proofing. holiday - no lecture. design brainstorming. project ideas. solidworks repository development. motors and electronics. guest lecturer. prof. steven leeb. mit electrical engineering &amp. computer science. design analysis. error estimation. data presentation. propulsion. power vs. thrust and efficiency. engineering ethics and using your best judgment. communicating engineering design. promoting your ideas/inventions. exploration on the moon. mission planning for eva and geology. part 1. guest lecturer. prof. dava newman. mit aeronautics &amp. astronautics. exploration adventure part 2. student presentations. in-class design review. design iterations. recalculations. cool robots and bomb disposal. bio-robots. gecko feet. and cool stuff!. engineering and society. guest lecture. pool testing at the z-center. engineering at mit. choice of majors. no class. optional boston harbor day trip + lunch. guest lecturer. prof. steve dubowsky. mit mechanical engineering.mobile robots. guest lecturer. prof. sangbae kim. mit mechanical engineering. bioinspired design. engineering after mit. grad school. consulting. fe exam. professional engineers certification. internships. guest lecturer. dr. sheri white. woods hole oceanographic institution. underwater exploration. guest lecturer. prof. jeff hoffman. mit aeronautics &amp. astronautics. aerospace engineering design. final student poster presentations. lab clean up. evaluations. ,mechanical engineering,http://ocw.mit.edu/courses/mechanical-engineering/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009/,http://ocw.mit.edu/courses/mechanical-engineering/2-00aj-exploring-sea-space-earth-fundamentals-of-engineering-design-spring-2009/2-00ajs09.jpg,Undergraduate
thermal energy,introduction to convection heat transfer. applications of the second law. applications of the concepts. heat exchangers. background to the second law of thermodynamics. introduction to thermal radiation and radiation heat transfer. the second law of thermodynamics. gas power and propulsion cycles. introduction to thermochemistry. introduction to conduction heat transfer. ,aeronautics and astronautics,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-050-thermal-energy-fall-2002/,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-050-thermal-energy-fall-2002/16-050f02.jpg,Undergraduate
principles of automatic control,why automatic control? categorization of control systems. block diagrams. the effect of feedback. modeling principles. block diagram manipulations. mason' rule. dynamic response of closed-loop systems. time-domain specifications. effect of zeros. the routh criterion. effect of noise. steady-state errors. pid control. the root locus method. root locus rules. root locus rules. lead compensation. lag compensation. zero degree root locus. frequency response design. bode plot problems. complex poles and zeros. unstable poles. and non-minimum phase zeros. the nyquist stability criterion. nyquist with poles on imaginary axis. stability margins. bode gain-phase theorem. bode compensation. lead compensation. nmp systems. the nichols chart. digital control. the z-transform. the z‐transform. design by emulation. the tustin transform. compensator design examples. time delay of zoh. discrete design. the w-transform. design examples. pre‐warping. direct design. higher harmonic control. ,aeronautics and astronautics,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-06-principles-of-automatic-control-fall-2012/,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-06-principles-of-automatic-control-fall-2012/16-06f12.jpg,Undergraduate
dynamics,introduction. degrees of freedom and constraints. rectilinear motion. vectors. matrices and coordinate transformations. curvilinear motion. cartesian coordinates. other coordinate systems. intrinsic coordinates. relative motion using translating axes. relative motion using rotating axes. linear impulse and momentum. collisions. angular impulse and momentum for a particle. conservation laws for systems of particles. work and energy. conservative internal forces and potential energy. variable mass systems. the rocket equation. central force motion. kepler's laws. central force motion. orbits. orbit transfers and interplanetary trajectories. exploring the neighborhood. the restricted three-body problem. vibration. normal modes. natural frequencies. instability. energy methods. lagrange's equations. 2d rigid body dynamics. 2d rigid body dynamics. work and energy. 2d rigid body dynamics. impulse and momentum. pendulums. 3d rigid body kinematics. 3d rigid body dynamics. the inertia tensor. 3d rigid body dynamics. kinetic energy. instability. equations of motion. 3d rigid body dynamics. equations of motion. euler's equations. 3d rigid body dynamics. 3d rigid body dynamics. tops and gyroscopes. inertial instruments and inertial navigation. ,aeronautics and astronautics,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-07-dynamics-fall-2009/,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-07-dynamics-fall-2009/16-07f09.jpg,Undergraduate
feedback control systems,introduction. basic root locus. analysis and examples. frequency response methods. control design using bode plots. introduction to state-space models. developing state-space models based on transfer functions. state-space models. basic properties. system zeros and transfer function matrices. state-space model features. controllability. full-state feedback control. pole placement approach. lq servo introduction. open-loop and closed-loop estimators. combined estimators and regulators. adding reference inputs. lq servo. improving transient performance. deterministic linear quadratic regulator (lqr). linear quadratic gaussian (lqg). digital control basics. systems with nonlinear functions. analysis of nonlinear systems. anti-windup. closed-loop system analysis. ,aeronautics and astronautics,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-30-feedback-control-systems-fall-2010/,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-30-feedback-control-systems-fall-2010/16-30f10.jpg,Undergraduate
estimation and control of aerospace systems,introduction. frequency response bode plot rules. bode plot exercises. bode plots for unstable open - loop systems. root - locus review. root - locus examples. compensation design principles. proportional control. lag160.and pid compensation. lead and pid compensation. examples. high frequency roll-off notch and plant inversion. design example lead-lag compensation. more examples. control of unstable plants. quiz. models of nonlinearities. common effects of nonlinearities. prof. david trumper's lecture. describing functions introduction and motivation. describing function analysis. computing dfs. df analysis. example 1. stability of boat autopiloot. df analysis. limit cycling. df analysis. jump resonance. df-based compensation design. phase-plane analysis introduction and motivation. phase plane drawing rules. phase - plane example i carry-on suitcase. phase - plane example ii satellite system. phase - plane example iii satellite system. phase - plane and parameter dependence of system dynamics. ,aeronautics and astronautics,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-30-estimation-and-control-of-aerospace-systems-spring-2004/,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-30-estimation-and-control-of-aerospace-systems-spring-2004/16-30s04.jpg,Undergraduate
communication systems engineering,introduction. sampling theorem. measuring information and entropy. quantization. source coding. modulation. modulation with 2-d signal. signal detection in noise. the matched filter. geometric signal representation. hypothesis testing and bit error rate (ber) analysis. link budget analysis and design. channel capacity and coding. cyclic codes and error detection. the data link layer. framing. automatic repeat request (arq) protocols. stop and wait. arq protocols. go back n. selective repeat protocol (srp). delay models for data networks. introduction. delay models for data networks. single server queues. packet multiple access. routing in data networks. ,aeronautics and astronautics,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-36-communication-systems-engineering-spring-2009/,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-36-communication-systems-engineering-spring-2009/16-36s09.jpg,Undergraduate
human factors engineering,introduction and vision i. vision ii. space bioastronautics. research methods i. research methods ii. vestibular/spatial disorientation. displays. space human factors. manual control i. manual control ii. pio and cooper harper. handling qualities. space physiology. auditory. automaton. situation. awareness. flight deck automation working group. decision making. faa regulations. attention/workload. fatigue/circadian rhythms. anthropometry/environmental ergonomics. response selection and control of movement. automobile hf. ,aeronautics and astronautics,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-400-human-factors-engineering-fall-2011/,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-400-human-factors-engineering-fall-2011/16-400f11.jpg,Undergraduate / Graduate
principles of autonomy and decision making,introduction [bw]. foundations i. state space search [bw]. foundations ii. complexity of state space search [bw]. foundations iii. soundness and completeness of search [sk]. constraints i. constraint programming [bw]. constraints ii. constraint satisfaction [bw]. constraints iii. conflict-directed back jumping. planning i. activity planning [bw]. planning ii. graph plan [bw]. planning iii. plan termination and plan execution [bw]. model-based reasoning i. propositional logic and satisfiability [bw]. encoding planning problems as propositional logic satisfiability [sk]. model-based reasoning ii. diagnosis and mode estimation [bw]. model-based reasoning iii. opsat and conflict-directed a* [bw]. global path planning i. informed search [ef]. global path planning ii. sampling-based algorithms for motion planning [ef]. mathematical programming i [ef]. mathematical programming ii. the simplex method [ef]. reasoning in an uncertain world [bw]. inferring state in an uncertain world i. introduction to hidden markov models [ef]. inferring state in an uncertain world ii. hidden markov models. the baum-welch algorithm [ef]. dynamic programming and machine learning i. markov decision processes [ef]. dynamic programming and machine learning ii. markov decision processes. policy iteration [ef]. game theory i. sequential games [ef]. game theory ii. differential games [sk]. ,aeronautics and astronautics,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-410-principles-of-autonomy-and-decision-making-fall-2010/,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-410-principles-of-autonomy-and-decision-making-fall-2010/16-410f10.jpg,Undergraduate
introduction to propulsion systems,rocket equation. gravity loss. optimum acceleration. rocket staging. range of aircraft. climb &amp. acceleration. orbital mechanics. single force center. hyperbolic orbits. interplanetary transfer. non-chemical rockets. optimum exhaust velocity. modeling of thermal rocket engines. nozzle flow. control of mass flow. modeling of rocket nozzles. effects of nozzle area ratio. types of nozzles. connection of flow to nozzle shape. solid propellant gas generators. stability. grain designs. models for rocket engines. flow of reacting gases. nozzle flow of reacting gases. rocket casing design. structural modeling. heat transfer and cooling. ablative cooling. thrust vectoring. engine cycles. mass estimates. aircraft propulsion. configuration and components. aircraft engine modeling. turbojet engine. introduction to component matching and off-design operation. turbofan engines. inlets or diffusers. exhaust nozzles. compressors and fans. velocity triangles. compressor performance maps. compressor blading. design. multi-staging. turbines. stage characteristics. degree of reaction. turbine solidity. mass flow limits. blade temperature. turbine cooling. general trends and systems.  internal cooling. film cooling. thermal stresses. impingement cooling. how to do cooling design. compressor-turbine matching. gas generators. engine structures. centrifugal stresses. engine arrangements. critical speeds and vibration. combustors. afterburners. pollutant. motivations for control. formation. strategies for reduction. aircraft engine noise. principles. regulations. jet noise. turbomachinery noise. rotordynamics of the jet engine. ,aeronautics and astronautics,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-50-introduction-to-propulsion-systems-spring-2012/,http://ocw.mit.edu/courses/aeronautics-and-astronautics/16-50-introduction-to-propulsion-systems-spring-2012/16-50s12.jpg,Undergraduate
